want,"to: 원하다, 목 to: ~하길 원하다"
need,"to: 필요로 하다, 목 to: ~하는 것을 필요로 하다, to: ~할 필요"
ask,"to: 요청하다, 목 to: ~하길 요청하다"
desire,to: 갈망하다
expect,"to: 기대하다, 목 to: ~하길 기대하다"
refuse,to: 거절하다
wish,to: 소망하다
plan,to: 계획하다
manage,to: 해내다
hope,to: 희망하다
decide,to: 결정하다
afford,to: 여유가 있다
invite,목 to: ~에 초대하다
require,목 to: ~하길 요구하다
permit,목 to: ~하도록 허락하다
encourage,목 to: ~하도록 격려하다
allow,목 to: ~하도록 허가하다
advise,목 to: ~하라고 조언하다
enable,목 to: ~을 가능하게 하다
cause,목 to: ~하게 하다
chance,to: ~할 기회
decision,to: ~할 결정
opportunity,to: ~할 기회
plan,to: ~할 계획
effort,to: ~할 노력
right,to: ~할 권리
time,to: ~할 시간
be able,to: ~할 수 있다
be likely,to: ~할 것 같다
be easy,to: ~하기 쉽다
be willing,to: 기꺼이 ~하다
be eager,to: 몹시 ~하고 싶다
be difficult,to: ~하기 어렵다
be ready,to: ~할 준비가 되어 있다
be pleased,to: ~을 기쁘게 생각하다
enjoy,-ing: 즐기다
avoid,-ing: 피하다
suggest,-ing: 제안하다
mind,-ing: 꺼리다
recommend,-ing: 추천하다
postpone,-ing: 연기하다
consider,-ing: 고려하다
finish,-ing: 끝내다
attempt,-ing/to: 시도하다
begin,-ing/to: 시작하다
continue,-ing/to: 계속하다
intend,-ing/to: 의도하다
like,-ing/to: 좋아하다
prefer,-ing/to: 선호하다
on,-ing: ~하자마자
keep (on),-ing: 계속 ~하다
spend 시간/돈,-ing: 시간/돈을 ~하는 데 쓰다
have difficulty/trouble/a problem (in),-ing: ~하는 데 어려움을 겪다
be busy (in),-ing: ~하느라 바쁘다
be worth,-ing: ~할 가치가 있다
contribute,to -ing: ~에 공헌하다
look forward,to -ing: ~하기를 고대하다
lead,to -ing: ~의 원인이 되다
object,"to -ing: ~에 반대하다, ~에 이의를 제기하다"
be committed,to -ing: ~에 전념하다
be dedicated,to -ing: ~에 헌신적이다
be devoted,to -ing: ~에 헌신적이다
be used,to -ing: ~에 익숙하다
